protein,replicate,temp_C,fluorescence
WT,1,20.0,16.266044008021705
WT,1,22.586206896551722,12.413286719729445
WT,1,25.17241379310345,15.946751406599494
WT,1,27.758620689655174,18.60154235718431
WT,1,30.344827586206897,18.847754849033475
WT,1,32.93103448275862,13.984372288900861
WT,1,35.51724137931035,17.977037510936032
WT,1,38.10344827586207,20.548824625492497
WT,1,40.689655172413794,22.34487530577345
WT,1,43.275862068965516,14.977215902380028
WT,1,45.86206896551724,14.487000514238321
WT,1,48.44827586206897,17.242848158181733
WT,1,51.03448275862069,8.295340858770084
WT,1,53.62068965517241,15.825466044281427
WT,1,56.20689655172414,100.80779380758625
WT,1,58.793103448275865,100.91606869068463
WT,1,61.37931034482759,97.54249656027926
WT,1,63.96551724137931,101.5574629222647
WT,1,66.55172413793103,99.96429038528665
WT,1,69.13793103448276,104.56656542082806
WT,1,71.72413793103448,99.53869179318541
WT,1,74.3103448275862,101.44708085616998
WT,1,76.89655172413794,101.59527247009848
WT,1,79.48275862068965,103.99683050942726
WT,1,82.06896551724138,94.65640244435546
WT,1,84.65517241379311,101.27224143806569
WT,1,87.24137931034483,104.57296169327472
WT,1,89.82758620689656,101.20905153377399
WT,1,92.41379310344828,97.71330534628987
WT,1,95.0,
WT,2,20.0,22.93823472299865
WT,2,22.586206896551722,27.17985392457172
WT,2,25.17241379310345,24.539628724525038
WT,2,27.758620689655174,24.20431124031124
WT,2,30.344827586206897,24.425978533970312
WT,2,32.93103448275862,19.52967456071906
WT,2,35.51724137931035,22.459487768527268
WT,2,38.10344827586207,20.75881122779657
WT,2,40.689655172413794,24.220389146384605
WT,2,43.275862068965516,21.996153798231155
WT,2,45.86206896551724,23.495970824942415
WT,2,48.44827586206897,23.396270499658904
WT,2,51.03448275862069,23.51903710041145
WT,2,53.62068965517241,23.58067426864773
WT,2,56.20689655172414,104.85164780550933
WT,2,58.793103448275865,103.78785009496916
WT,2,61.37931034482759,104.95678971698082
WT,2,63.96551724137931,110.16447366697282
WT,2,66.55172413793103,108.07234406443645
WT,2,69.13793103448276,108.71072472681793
WT,2,71.72413793103448,111.08976239395493
WT,2,74.3103448275862,103.41156584552239
WT,2,76.89655172413794,108.47971590948735
WT,2,79.48275862068965,103.72463632943365
WT,2,82.06896551724138,105.94686084844122
WT,2,84.65517241379311,108.40257817335386
WT,2,87.24137931034483,111.79289444645116
WT,2,89.82758620689656,104.60336381761633
WT,2,92.41379310344828,106.66546988426036
WT,2,95.0,110.41856905690663
WT,3,20.0,16.753807373839525
WT,3,22.586206896551722,13.63457772422565
WT,3,25.17241379310345,24.290727097586732
WT,3,27.758620689655174,14.282421650479009
WT,3,30.344827586206897,16.943930481419095
WT,3,32.93103448275862,17.395832624426728
WT,3,35.51724137931035,18.763460304231916
WT,3,38.10344827586207,17.40551151658697
WT,3,40.689655172413794,18.271131886597484
WT,3,43.275862068965516,18.686510859526543
WT,3,45.86206896551724,18.253997835999545
WT,3,48.44827586206897,18.79384864437854
WT,3,51.03448275862069,11.377250058866432
WT,3,53.62068965517241,19.840227533438593
WT,3,56.20689655172414,90.3125619967377
WT,3,58.793103448275865,88.036670176342
WT,3,61.37931034482759,98.68065042956208
WT,3,63.96551724137931,
WT,3,66.55172413793103,95.0762140279511
WT,3,69.13793103448276,92.21892224889383
WT,3,71.72413793103448,92.50120806247712
WT,3,74.3103448275862,95.98757101583494
WT,3,76.89655172413794,91.39193183251393
WT,3,79.48275862068965,95.65462953633342
WT,3,82.06896551724138,
WT,3,84.65517241379311,98.02995045189691
WT,3,87.24137931034483,93.5279670485973
WT,3,89.82758620689656,97.6763534701811
WT,3,92.41379310344828,99.69869083031466
WT,3,95.0,
WT,4,20.0,29.801591201873215
WT,4,22.586206896551722,27.870261852745063
WT,4,25.17241379310345,29.400366819023823
WT,4,27.758620689655174,31.78987554253709
WT,4,30.344827586206897,31.398817288539107
WT,4,32.93103448275862,25.719090128566002
WT,4,35.51724137931035,32.382890244315064
WT,4,38.10344827586207,28.664120261651906
WT,4,40.689655172413794,31.75163524908886
WT,4,43.275862068965516,27.213379301845546
WT,4,45.86206896551724,31.219409949046955
WT,4,48.44827586206897,26.916068437599336
WT,4,51.03448275862069,29.693914829626287
WT,4,53.62068965517241,28.497113342630257
WT,4,56.20689655172414,104.8825420710258
WT,4,58.793103448275865,104.23887932291314
WT,4,61.37931034482759,105.47790434641487
WT,4,63.96551724137931,100.71673756466562
WT,4,66.55172413793103,108.56844071537235
WT,4,69.13793103448276,108.82370139643326
WT,4,71.72413793103448,104.61032001662716
WT,4,74.3103448275862,101.79937775744429
WT,4,76.89655172413794,103.99851382570726
WT,4,79.48275862068965,108.78148462426172
WT,4,82.06896551724138,107.81520395531342
WT,4,84.65517241379311,105.03758095241177
WT,4,87.24137931034483,108.63046597558984
WT,4,89.82758620689656,102.81419936617054
WT,4,92.41379310344828,104.10073264189512
WT,4,95.0,107.36246337521857
WT,5,20.0,19.692152534136568
WT,5,22.586206896551722,20.306087966365126
WT,5,25.17241379310345,24.32508990071135
WT,5,27.758620689655174,18.363932706837364
WT,5,30.344827586206897,
WT,5,32.93103448275862,15.56157677088832
WT,5,35.51724137931035,17.315643667199826
WT,5,38.10344827586207,15.054760539704423
WT,5,40.689655172413794,17.549589096859673
WT,5,43.275862068965516,21.5385810406445
WT,5,45.86206896551724,22.003121943900226
WT,5,48.44827586206897,20.710260659439065
WT,5,51.03448275862069,20.591211674089184
WT,5,53.62068965517241,16.409139137654904
WT,5,56.20689655172414,91.18169534108173
WT,5,58.793103448275865,96.37897110938962
WT,5,61.37931034482759,
WT,5,63.96551724137931,94.37489909085426
WT,5,66.55172413793103,91.66162452217748
WT,5,69.13793103448276,90.86746193869894
WT,5,71.72413793103448,93.42534822810661
WT,5,74.3103448275862,100.20593483845562
WT,5,76.89655172413794,94.84408475935119
WT,5,79.48275862068965,92.35347324977907
WT,5,82.06896551724138,93.63889083945513
WT,5,84.65517241379311,94.01666845803896
WT,5,87.24137931034483,96.26414361761353
WT,5,89.82758620689656,93.48725401122185
WT,5,92.41379310344828,92.79748464793491
WT,5,95.0,94.90325241831948
MutA,1,20.0,36.55848589244007
MutA,1,22.586206896551722,43.88565926769799
MutA,1,25.17241379310345,38.61902520250126
MutA,1,27.758620689655174,41.10456081630982
MutA,1,30.344827586206897,37.125518657926996
MutA,1,32.93103448275862,36.0718420512729
MutA,1,35.51724137931035,41.29114799999422
MutA,1,38.10344827586207,36.5787497681275
MutA,1,40.689655172413794,36.54145566973248
MutA,1,43.275862068965516,41.578912916910056
MutA,1,45.86206896551724,35.40072305132742
MutA,1,48.44827586206897,102.41587898508297
MutA,1,51.03448275862069,115.34461687538254
MutA,1,53.62068965517241,107.82982518832304
MutA,1,56.20689655172414,111.45429309243212
MutA,1,58.793103448275865,112.61253172643443
MutA,1,61.37931034482759,109.67354909262488
MutA,1,63.96551724137931,110.3572984982198
MutA,1,66.55172413793103,115.70708884774086
MutA,1,69.13793103448276,114.58682926080219
MutA,1,71.72413793103448,110.87233565753496
MutA,1,74.3103448275862,115.29792676054129
MutA,1,76.89655172413794,118.267305385468
MutA,1,79.48275862068965,
MutA,1,82.06896551724138,113.89323744696222
MutA,1,84.65517241379311,119.63942410503421
MutA,1,87.24137931034483,115.54294972958127
MutA,1,89.82758620689656,116.14962543473808
MutA,1,92.41379310344828,113.10901205093555
MutA,1,95.0,111.31557879402315
MutA,2,20.0,21.036944903231632
MutA,2,22.586206896551722,25.251501518860202
MutA,2,25.17241379310345,
MutA,2,27.758620689655174,21.175929143032775
MutA,2,30.344827586206897,18.265336024977703
MutA,2,32.93103448275862,21.81405682400113
MutA,2,35.51724137931035,21.90981868493184
MutA,2,38.10344827586207,24.314187242570153
MutA,2,40.689655172413794,25.14565258068047
MutA,2,43.275862068965516,
MutA,2,45.86206896551724,26.42237356563222
MutA,2,48.44827586206897,97.90291922242722
MutA,2,51.03448275862069,102.48957162579373
MutA,2,53.62068965517241,102.66357652647632
MutA,2,56.20689655172414,95.73469086366848
MutA,2,58.793103448275865,102.50426555295654
MutA,2,61.37931034482759,
MutA,2,63.96551724137931,96.4780503031234
MutA,2,66.55172413793103,100.24937784324848
MutA,2,69.13793103448276,104.41580783909012
MutA,2,71.72413793103448,97.82721295982336
MutA,2,74.3103448275862,105.422389432828
MutA,2,76.89655172413794,102.96793389498781
MutA,2,79.48275862068965,100.85837166804323
MutA,2,82.06896551724138,101.11655407723771
MutA,2,84.65517241379311,104.03331725152252
MutA,2,87.24137931034483,
MutA,2,89.82758620689656,107.6658217584647
MutA,2,92.41379310344828,99.10327735017044
MutA,2,95.0,99.2476862129326
MutA,3,20.0,27.422847968940765
MutA,3,22.586206896551722,27.119591215168413
MutA,3,25.17241379310345,19.697563361146887
MutA,3,27.758620689655174,27.40771729635045
MutA,3,30.344827586206897,
MutA,3,32.93103448275862,25.948142271160457
MutA,3,35.51724137931035,26.153396510300013
MutA,3,38.10344827586207,22.724046955512062
MutA,3,40.689655172413794,26.824647362591612
MutA,3,43.275862068965516,31.08603389701384
MutA,3,45.86206896551724,26.046654519016943
MutA,3,48.44827586206897,
MutA,3,51.03448275862069,106.32669970845363
MutA,3,53.62068965517241,114.20116148534659
MutA,3,56.20689655172414,104.08416729416972
MutA,3,58.793103448275865,110.68474706281148
MutA,3,61.37931034482759,108.48413317624095
MutA,3,63.96551724137931,113.91258703117187
MutA,3,66.55172413793103,112.08369402345302
MutA,3,69.13793103448276,107.88494368291487
MutA,3,71.72413793103448,103.52549184807238
MutA,3,74.3103448275862,112.43881729061664
MutA,3,76.89655172413794,
MutA,3,79.48275862068965,104.83519177724553
MutA,3,82.06896551724138,110.3855982524163
MutA,3,84.65517241379311,105.74759811422271
MutA,3,87.24137931034483,105.82132684170709
MutA,3,89.82758620689656,103.32195750249278
MutA,3,92.41379310344828,110.94861344329885
MutA,3,95.0,108.96328303909884
MutA,4,20.0,29.89327809567101
MutA,4,22.586206896551722,27.57504264930481
MutA,4,25.17241379310345,28.02911417370248
MutA,4,27.758620689655174,30.979567924386785
MutA,4,30.344827586206897,29.733668869612693
MutA,4,32.93103448275862,27.64041553203004
MutA,4,35.51724137931035,24.391221427688865
MutA,4,38.10344827586207,23.80551176004801
MutA,4,40.689655172413794,26.985399953405313
MutA,4,43.275862068965516,28.148294385054697
MutA,4,45.86206896551724,28.695184240682465
MutA,4,48.44827586206897,101.88608206241874
MutA,4,51.03448275862069,112.95124491293899
MutA,4,53.62068965517241,102.80343149446593
MutA,4,56.20689655172414,112.72298258628804
MutA,4,58.793103448275865,106.8703182574576
MutA,4,61.37931034482759,113.35486731147009
MutA,4,63.96551724137931,111.02259457102608
MutA,4,66.55172413793103,111.90434104056028
MutA,4,69.13793103448276,108.38988434258695
MutA,4,71.72413793103448,110.86061555129729
MutA,4,74.3103448275862,104.41102384902828
MutA,4,76.89655172413794,113.2984014373129
MutA,4,79.48275862068965,109.02014537127673
MutA,4,82.06896551724138,
MutA,4,84.65517241379311,113.19711224817685
MutA,4,87.24137931034483,115.04298276715633
MutA,4,89.82758620689656,107.38427303798714
MutA,4,92.41379310344828,113.65079124457742
MutA,4,95.0,
MutA,5,20.0,11.3663768207028
MutA,5,22.586206896551722,16.166108461914888
MutA,5,25.17241379310345,10.789648212872166
MutA,5,27.758620689655174,8.92304603192071
MutA,5,30.344827586206897,11.688482371087275
MutA,5,32.93103448275862,10.100628346739022
MutA,5,35.51724137931035,8.803053284677913
MutA,5,38.10344827586207,13.867466479044602
MutA,5,40.689655172413794,14.949370145157419
MutA,5,43.275862068965516,10.89965901092128
MutA,5,45.86206896551724,14.130914953851706
MutA,5,48.44827586206897,88.70674252966671
MutA,5,51.03448275862069,99.6188941968948
MutA,5,53.62068965517241,100.28833157609655
MutA,5,56.20689655172414,104.39797496797306
MutA,5,58.793103448275865,101.44080093931309
MutA,5,61.37931034482759,96.92078501817734
MutA,5,63.96551724137931,101.46561205104699
MutA,5,66.55172413793103,99.2545595330868
MutA,5,69.13793103448276,98.51904311707418
MutA,5,71.72413793103448,97.39884027123703
MutA,5,74.3103448275862,99.83934355612773
MutA,5,76.89655172413794,99.73772703793695
MutA,5,79.48275862068965,
MutA,5,82.06896551724138,95.74468231150222
MutA,5,84.65517241379311,94.79660746458843
MutA,5,87.24137931034483,100.30207781984096
MutA,5,89.82758620689656,100.45273860416576
MutA,5,92.41379310344828,106.46751040585312
MutA,5,95.0,99.38213531570771
MutB,1,20.0,16.34589069868012
MutB,1,22.586206896551722,20.10686037208641
MutB,1,25.17241379310345,19.80839461811214
MutB,1,27.758620689655174,17.691631314849833
MutB,1,30.344827586206897,15.680878069400528
MutB,1,32.93103448275862,21.736745671445387
MutB,1,35.51724137931035,11.447853801983305
MutB,1,38.10344827586207,19.406651157175887
MutB,1,40.689655172413794,17.988228997477925
MutB,1,43.275862068965516,18.236805384763365
MutB,1,45.86206896551724,17.261121822263775
MutB,1,48.44827586206897,17.07923577388134
MutB,1,51.03448275862069,19.25605931894699
MutB,1,53.62068965517241,13.004560965588468
MutB,1,56.20689655172414,12.724039494918458
MutB,1,58.793103448275865,16.95106215942266
MutB,1,61.37931034482759,20.22255307936808
MutB,1,63.96551724137931,105.64230814283565
MutB,1,66.55172413793103,109.92659976902466
MutB,1,69.13793103448276,103.41737276536627
MutB,1,71.72413793103448,107.4092571094675
MutB,1,74.3103448275862,106.30864393726574
MutB,1,76.89655172413794,112.25498803306667
MutB,1,79.48275862068965,100.94874087154844
MutB,1,82.06896551724138,103.51727947104996
MutB,1,84.65517241379311,103.78493072394667
MutB,1,87.24137931034483,109.1171095158576
MutB,1,89.82758620689656,102.69554511353756
MutB,1,92.41379310344828,
MutB,1,95.0,109.94962576544927
MutB,2,20.0,14.770879837478603
MutB,2,22.586206896551722,15.120636018250568
MutB,2,25.17241379310345,18.063805306618544
MutB,2,27.758620689655174,21.130549716299218
MutB,2,30.344827586206897,21.468882101553124
MutB,2,32.93103448275862,19.8954159875427
MutB,2,35.51724137931035,20.1466359560893
MutB,2,38.10344827586207,23.384697785181448
MutB,2,40.689655172413794,22.767014645251212
MutB,2,43.275862068965516,21.59881838546672
MutB,2,45.86206896551724,18.61165435572107
MutB,2,48.44827586206897,22.795274046891617
MutB,2,51.03448275862069,21.006184742306655
MutB,2,53.62068965517241,18.219050268408953
MutB,2,56.20689655172414,18.731868079148875
MutB,2,58.793103448275865,24.14853362012769
MutB,2,61.37931034482759,30.65921241077267
MutB,2,63.96551724137931,103.92207682353309
MutB,2,66.55172413793103,99.28735845202087
MutB,2,69.13793103448276,107.28395413839864
MutB,2,71.72413793103448,102.81177450880845
MutB,2,74.3103448275862,107.71905746989758
MutB,2,76.89655172413794,104.39369115431414
MutB,2,79.48275862068965,112.21035842688727
MutB,2,82.06896551724138,105.85829650344145
MutB,2,84.65517241379311,
MutB,2,87.24137931034483,101.87640179356731
MutB,2,89.82758620689656,97.06368867212674
MutB,2,92.41379310344828,105.9275563426263
MutB,2,95.0,106.3074522577246
MutB,3,20.0,25.772575711318837
MutB,3,22.586206896551722,25.772494495136733
MutB,3,25.17241379310345,24.070986057648216
MutB,3,27.758620689655174,19.06256017334128
MutB,3,30.344827586206897,
MutB,3,32.93103448275862,29.670389295326668
MutB,3,35.51724137931035,21.26062888204067
MutB,3,38.10344827586207,19.57668126531291
MutB,3,40.689655172413794,24.446388216335947
MutB,3,43.275862068965516,23.865847510995966
MutB,3,45.86206896551724,21.224483433024794
MutB,3,48.44827586206897,22.84529056292442
MutB,3,51.03448275862069,23.659771458413122
MutB,3,53.62068965517241,23.864385316829008
MutB,3,56.20689655172414,25.59133017430872
MutB,3,58.793103448275865,27.222999049860885
MutB,3,61.37931034482759,28.409379144207932
MutB,3,63.96551724137931,109.45989692397998
MutB,3,66.55172413793103,113.47591848471929
MutB,3,69.13793103448276,111.7213992933686
MutB,3,71.72413793103448,99.69696915787537
MutB,3,74.3103448275862,107.34600408746975
MutB,3,76.89655172413794,103.70583904680188
MutB,3,79.48275862068965,106.36808022594121
MutB,3,82.06896551724138,110.74871121288197
MutB,3,84.65517241379311,107.83193124612548
MutB,3,87.24137931034483,107.15032182844793
MutB,3,89.82758620689656,112.38640420697728
MutB,3,92.41379310344828,103.92415579351439
MutB,3,95.0,108.15404656799367
MutB,4,20.0,12.525781693208025
MutB,4,22.586206896551722,19.43608975991724
MutB,4,25.17241379310345,18.851629329392036
MutB,4,27.758620689655174,18.0818684266772
MutB,4,30.344827586206897,11.685162891416597
MutB,4,32.93103448275862,22.783163092703592
MutB,4,35.51724137931035,20.778224317586773
MutB,4,38.10344827586207,18.159335881666056
MutB,4,40.689655172413794,19.459112874604404
MutB,4,43.275862068965516,15.264844428873376
MutB,4,45.86206896551724,
MutB,4,48.44827586206897,22.763252323773095
MutB,4,51.03448275862069,14.548734113275206
MutB,4,53.62068965517241,26.161263331604133
MutB,4,56.20689655172414,16.772204002005505
MutB,4,58.793103448275865,20.565242792577127
MutB,4,61.37931034482759,19.74436346158828
MutB,4,63.96551724137931,96.23123484541061
MutB,4,66.55172413793103,91.2469591948477
MutB,4,69.13793103448276,93.0917953776708
MutB,4,71.72413793103448,94.38304557855498
MutB,4,74.3103448275862,93.10131258722954
MutB,4,76.89655172413794,94.34448751749076
MutB,4,79.48275862068965,97.99663600970622
MutB,4,82.06896551724138,91.23752175666884
MutB,4,84.65517241379311,91.48151789800616
MutB,4,87.24137931034483,95.20995518317497
MutB,4,89.82758620689656,93.37620840495234
MutB,4,92.41379310344828,92.0575302502109
MutB,4,95.0,95.46487578828318
MutB,5,20.0,14.735277467882257
MutB,5,22.586206896551722,13.962850633569545
MutB,5,25.17241379310345,11.058007917985485
MutB,5,27.758620689655174,
MutB,5,30.344827586206897,14.311582761960889
MutB,5,32.93103448275862,12.823042788895023
MutB,5,35.51724137931035,13.581707713564459
MutB,5,38.10344827586207,15.80069098528115
MutB,5,40.689655172413794,15.700776647689308
MutB,5,43.275862068965516,14.402746103869097
MutB,5,45.86206896551724,13.877060899710877
MutB,5,48.44827586206897,8.286652616113539
MutB,5,51.03448275862069,8.774829286392771
MutB,5,53.62068965517241,14.576774941463801
MutB,5,56.20689655172414,14.06281512441209
MutB,5,58.793103448275865,13.675853139195153
MutB,5,61.37931034482759,20.542126073857393
MutB,5,63.96551724137931,99.85863939317099
MutB,5,66.55172413793103,103.23568086217621
MutB,5,69.13793103448276,98.57426785346858
MutB,5,71.72413793103448,101.72805131045028
MutB,5,74.3103448275862,104.32888873974592
MutB,5,76.89655172413794,99.51031748631974
MutB,5,79.48275862068965,107.39963469045273
MutB,5,82.06896551724138,104.94314937163291
MutB,5,84.65517241379311,105.65723235322288
MutB,5,87.24137931034483,100.90744168623972
MutB,5,89.82758620689656,97.37406257749075
MutB,5,92.41379310344828,99.44514139778785
MutB,5,95.0,103.19591180489797
