,canonical_smiles,pchembl_value,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
1,C(=C/C1CCN(Cc2ccccc2)CC1)\c1noc2ccccc12,6.68,9901561,318.4,4.5,29.3,0,3.0,4
2,C/C=C1\[C@H]2C=C(C)C[C@]1(NC1OCC3=C4CC(C)(C)C[C@H]4[C@@H](C)[C@H](O)CC31O)c1ccc(=O)[nH]c1C2,6.96,118715261,492.6,1.2,90.8,4,5.0,2
3,C/C=C1\[C@H]2C=C(C)C[C@]1(N[C@H]1OC(=O)C3=C4CC(C)(C)C[C@H]4[C@@H](C)[C@@H](O)C[C@]31O)c1ccc(=O)[nH]c1C2,5.66,118715260,506.6,1.5,108.0,4,6.0,2
4,C=CC(=O)N1C/C(=C\c2ccc(C)cc2)C(=O)/C(=C/c2ccc(C)cc2)C1,4.74,24796898,357.4,4.4,37.4,0,2.0,3
5,C=CC(=O)N1C/C(=C\c2ccc(Cl)cc2Cl)C(=O)/C(=C/c2ccc(Cl)cc2Cl)C1,4.8,71720637,467.2,6.2,37.4,0,2.0,3
6,C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1,8.1,1338,406.6,4.8,17.1,0,1.0,12
7,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,8.55,10110147,377.5,3.8,58.4,1,4.0,6
8,CC(=O)Oc1cccc([N+](C)(C)C)c1C,4.39,44357731,208.28,2.0,26.3,0,2.0,3
10,CC(C)(C)OC(=O)N1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,4.29,56661786,419.5,4.4,70.6,1,6.0,6
11,CC(C)(C)OC(=O)n1cc(/C=C2\CN(Cc3ccccc3)CCC2=O)c2ccccc21,4.52,10905808,416.5,4.5,51.5,0,4.0,5
13,CC(C)N(CCOc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1)C(C)C,5.43,71769495,371.9,5.4,41.2,1,3.0,7
14,CC(C)c1ccc(N2C(=O)C3CN(C)C4(C(=O)c5ccccc5C4=O)C3C2=O)cc1,4.91,137655861,402.4,2.8,74.8,0,5.0,2
15,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,5.25,44371926,285.34,2.1,55.6,1,3.0,3
16,CC1(C)CC(=O)C2=C(C1)Nc1nc3c(c(N)c1[C@H]2c1ccc(F)cc1)CCCC3,6.27,76315117,391.5,4.4,68.0,2,5.0,1
17,CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccc(F)cc1)CCCC3,4.16,76307956,392.5,4.3,65.2,1,5.0,1
18,CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccccc1)CCCC3,4.31,76329623,374.5,4.2,65.2,1,4.0,1
19,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2NC=O,7.01,44417532,327.8,2.5,68.0,2,3.0,1
20,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2NS(C)(=O)=O,7.39,44417548,377.9,2.3,93.5,2,5.0,2
21,CC1=N[C@H]2CC=C3C[C@H]4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,5.28,23635748,456.7,3.4,62.1,1,5.0,2
22,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,6.43,10067622,368.5,1.6,91.3,2,7.0,7
24,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1C2,6.94,44281479,344.5,5.2,41.6,1,3.0,8
25,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCC)C1C2,7.03,44281155,372.5,6.1,41.6,1,3.0,10
26,CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,7.0,10840993,544.7,7.6,77.1,1,6.0,16
27,CCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.89,10426799,330.9,6.9,24.9,1,2.0,7
28,CCCCCCCNc1c2c(nc3cc(F)ccc13)CCCC2,7.35,10425802,314.4,6.4,24.9,1,3.0,7
29,CCCCCCCNc1c2c(nc3cc(OC)ccc13)CCCC2,6.34,3075611,326.5,6.2,34.2,1,3.0,8
30,CCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2,7.35,44281162,344.5,5.1,41.6,1,3.0,8
31,CCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2,7.05,44281438,316.4,4.0,41.6,1,3.0,6
32,CCCCOC(=O)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,4.91,57392136,500.7,5.3,80.7,1,5.0,8
34,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1[N+](=O)[O-])Cc1ccccc1[N+](=O)[O-],6.6,11007082,725.0,7.2,139.0,0,8.0,27
35,CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC,8.48,11445385,691.0,6.5,65.6,0,6.0,21
36,CCN(CCCCCCN1CC(=O)N(CCCCCCN(CC)Cc2ccccc2OC)CC1=O)Cc1ccccc1OC,7.8,25149263,608.9,5.7,65.6,0,6.0,22
37,CCN(CCCCCCNC1=CC(=O)c2ccccc2C1=O)Cc1ccccc1OC,6.18,56925980,420.5,5.2,58.6,1,5.0,12
38,CCN(CCCCCCOCCCCCCCCOCCCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,6.69,11104192,641.0,9.0,43.4,0,6.0,31
39,CCN(CCCNC1=CC(=O)C(NCCCNC(=O)CCCCC2CCSS2)=CC1=O)Cc1ccccc1OC,6.72,25221377,588.8,4.8,150.0,3,9.0,19
40,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3,6.98,16098498,393.5,3.9,86.5,2,6.0,5
41,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cccc(OC)c1)CCCC3,7.24,16098505,393.5,3.9,86.5,2,6.0,5
42,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(F)cc1)CCCC3,7.28,76333289,381.4,4.0,77.2,2,6.0,4
43,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(OC)cc1)CCCC3,7.395,42637909,393.5,3.9,86.5,2,6.0,5
44,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCCC3,7.21,76326038,393.5,3.9,86.5,2,6.0,5
45,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccccc1[N+](=O)[O-])CCCC3,6.52,76333290,408.4,3.7,123.0,2,7.0,4
46,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(C)cc1)CCCC3,5.74,76307987,378.5,4.3,74.4,1,5.0,4
47,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(OC)c(OC)c1)CCC3,4.57,76311573,410.5,3.3,92.9,1,7.0,6
48,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(OC)c(OC)c1)CCCCC3,4.48,76333319,438.5,4.4,92.9,1,7.0,6
49,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCC3,4.62,76307986,380.4,3.3,83.7,1,6.0,5
50,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCCCC3,4.89,76329646,408.5,4.4,83.7,1,6.0,5
51,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccnc1)CCCC3,5.15,76329644,365.4,2.8,87.3,1,6.0,4
52,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccnc1)CCCCC3,4.49,76315135,379.5,3.4,87.3,1,6.0,4
53,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccnc1Cl)CCCC3,5.67,76315115,399.9,3.8,87.3,1,6.0,4
54,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccco1)CCCC3,5.77,76307984,354.4,3.0,87.6,1,6.0,4
55,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccs1)CCCCC3,4.84,76322452,384.5,4.2,103.0,1,6.0,4
56,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccncc1)CCCC3,5.52,76333293,365.4,2.8,87.3,1,6.0,4
57,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(NC(C)=O)cc3)CC2)nc1-c1ccc(OC)c(OC)c1,7.05,162662189,583.7,2.7,149.0,1,11.0,10
58,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(C)cc1)CCCCC3,4.89,76326039,389.5,5.2,78.1,1,5.0,4
59,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(Cl)cc1)CCCC3,5.89,44445179,395.9,4.9,78.1,1,5.0,4
60,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(F)cc1)CCCC3,6.15,10091114,379.4,4.3,78.1,1,6.0,4
61,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(OC)cc1)CCCCCC3,4.77,76333292,419.5,5.3,87.3,1,6.0,5
62,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCCC3,4.68,44445173,375.5,4.8,78.1,1,5.0,4
63,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCCCC3,4.77,76318775,389.5,5.3,78.1,1,5.0,4
65,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1OC)CCCCC3,4.66,76326040,405.5,4.8,87.3,1,6.0,5
66,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccncc1)CCCC3,5.85,44445184,362.4,3.2,91.0,1,6.0,4
67,CCOc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,4.09,9638193,380.5,2.9,,1,5.0,8
68,CC[C@@]1(c2cccc(O)c2)CCCCN(CCCCCCCCCCN2CCCC[C@@](CC)(c3cccc(O)c3)C2)C1,5.24,24827759,576.9,10.2,46.9,2,4.0,15
69,CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1C(F)(F)F)Cc1ccccc1C(F)(F)F,7.93,10985959,801.0,9.3,40.6,0,8.0,27
70,CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1C)Cc1ccccc1C,7.78,11115691,693.1,8.3,40.6,0,2.0,27
74,CN(C)Cc1ccc(CSCCCCCCCCCSCc2ccc(CN(C)C)o2)o1,6.34,3071778,466.7,5.5,83.4,0,6.0,18
75,CN(C)Cc1ccc(CSCCN/C=C(/NCCSCc2ccc(CN(C)C)o2)[N+](=O)[O-])o1,7.13,44268378,497.7,2.7,153.0,2,10.0,16
76,CN(C)Cc1ccc(CSCCNc2cc(NN)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,7.12,5747382,410.5,3.0,183.0,3,10.0,9
77,CN(C)c1ccc(-c2c3cc(O)c(=O)cc-3oc3cc(O)c(O)cc23)cc1,4.66,255296,363.4,2.5,90.2,3,6.0,2
81,CN(CCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,5.155,44421943,401.5,5.5,38.8,0,4.0,9
82,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,6.64,10321405,447.6,5.0,85.7,2,4.0,10
83,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1,8.22,10255470,501.6,4.3,120.0,2,6.0,9
84,CN1C(=O)C2CN(C)C3(C(=O)c4ccccc4C3=O)C2C1=O,5.68,137642279,298.29,0.1,74.8,0,5.0,0
86,CN1c2ccccc2C(N2CCOCC2)c2ccccc21,4.91,137649760,280.4,2.8,15.7,0,3.0,1
87,CN1c2ccccc2C(n2cnc([N+](=O)[O-])n2)c2ccccc21,4.78,137649250,307.31,3.2,79.8,0,5.0,1
88,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.37,5983,275.35,0.7,44.8,1,4.0,2
89,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)CC/C(=C/c2cc(O)c(O)c(O)c2)C3=O)c1,8.31,46889414,588.7,6.1,129.0,4,8.0,14
90,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OC/C(=C/c2cc(O)c(O)c(O)c2)C3=O)c1,8.01,46889413,590.7,5.3,138.0,4,9.0,14
91,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(-c3ccccc3)cc2)c1,7.26,10927599,404.5,5.0,50.8,1,4.0,10
92,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,7.61,46889620,418.5,5.3,50.8,1,4.0,11
93,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,9.52,10765787,446.5,4.4,77.1,1,6.0,9
96,CN[C@@H](CCOc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)N(C)C)cc1,7.0,6918635,373.4,2.9,96.6,1,6.0,8
97,COC(=O)c1ccc(C[n+]2ccc(CCC(=O)c3cc4cc(OC)c(OC)cc4s3)cc2)cc1,6.0,44320394,476.6,5.3,94.0,0,6.0,10
98,COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc(OC)c1OC,8.12,114734,526.6,2.8,121.0,2,9.0,4
99,COc1cc(/C=C/C(=O)N2CCCCC2)ccc1OC(=O)N(C)C,5.04,162649275,332.4,2.4,,0,,5
100,COc1cc(/C=C/C(=O)NCC(=O)NCCc2c[nH]c3ccc(Cl)cc23)ccc1O,6.08,164620135,427.9,3.3,103.0,4,4.0,8
101,COc1cc(/C=C/C(=O)NCC(=O)NCCc2c[nH]c3ccccc23)ccc1O,5.85,164612921,393.4,2.7,103.0,4,4.0,8
103,COc1cc(CCC(=O)NCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,7.14,16094859,520.6,4.3,111.0,3,7.0,12
104,COc1cc(CCc2ccc(Nc3c4c(nc5cc(Cl)ccc35)CCCC4)cc2)cc(OC)c1,6.1,132278422,473.0,7.7,43.4,1,4.0,7
105,COc1cc(O)c(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1C/C=C(\C)CCC=C(C)C,4.96,53242257,436.5,6.4,96.2,3,6.0,7
106,COc1cc2c(cc1O)CCC(C)(CC(=O)NCCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,8.69,162674899,608.2,8.3,92.7,3,6.0,14
107,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,9.57,162666475,594.2,8.9,75.6,3,6.0,15
108,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,7.75,3152,379.5,4.3,38.8,0,4.0,6
114,COc1cc2c(cc1OC)C(O)C(CC1CCN(c3ccccc3)CC1)C2,6.52,46889434,367.5,4.2,41.9,1,4.0,5
116,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC,9.0,10255275,496.5,2.8,112.0,2,8.0,3
117,COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,4.05,6884840,366.5,2.5,57.2,1,5.0,7
118,COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1OC,4.09,9625548,396.5,2.5,66.4,1,6.0,8
119,COc1ccc(/N=C/c2cn(-c3ccc(OC)cc3)cc2/C=N/c2ccc(OC)cc2)cc1,4.85,2777804,439.5,4.8,57.3,0,5.0,8
120,COc1ccc(C(=O)c2ccc(CN(C)CCN(C)C)cc2)cc1OC,5.62,42598036,356.5,3.1,42.0,0,5.0,9
121,COc1ccc(C2c3ccc4ccccc4c3Oc3nc4c(c(N)c32)CCCC4)c(OC)c1,6.43,66573530,438.5,5.9,66.6,1,5.0,3
122,COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccccc3)CC2)cc1OC,4.34,164609973,455.5,5.7,51.9,0,5.0,7
123,COc1ccc(N2C(=O)C3CN(C)C4(C(=O)c5ccccc5C4=O)C3C2=O)cc1,6.11,137638431,390.4,1.7,84.0,0,6.0,2
124,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,5.91,9651,287.35,1.8,41.9,1,4.0,1
126,COc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,4.4,44421982,459.6,6.4,48.0,0,5.0,12
127,COc1ccccc1CN(C)CCCOc1ccc2c(=O)c3ccccc3oc2c1,5.47,44421973,403.5,4.8,48.0,0,5.0,8
128,COc1ccccc1CNCCCCCCNC1=CC(=O)c2ccccc2C1=O,5.73,56926076,392.5,4.3,67.4,2,5.0,11
130,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,6.1,11425872,276.36,2.8,76.3,0,4.0,2
131,C[C@H](CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O)C(=O)O,4.74,23247894,512.6,2.3,123.0,1,7.0,6
133,Cc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc(C)cc4)N2C3c2ccc(C)cc2)cc1,5.75,134134800,475.6,5.3,52.9,1,3.0,3
134,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,7.11,10091498,385.5,3.7,85.7,2,4.0,9
135,Cc1ccc(F)cc1,6.664999999999999,9603,110.13,2.8,0.0,0,1.0,0
137,Cc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)cc1,4.29,76318771,388.5,4.6,65.2,1,4.0,1
138,Cc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c1,7.55,13006036,351.4,2.7,44.8,1,4.0,3
139,Cc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C(=C\c2ccccc2C)C1=O,4.9,71716973,571.7,5.2,69.7,1,4.0,4
140,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,7.92,10292083,361.5,4.1,49.0,1,3.0,6
141,Clc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Cl)cc2)cc1,5.87,134138653,552.5,6.8,52.9,1,3.0,3
142,Clc1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1,5.82,155544490,312.8,4.2,15.6,0,2.0,4
143,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.33,5353853,429.1,6.1,39.4,0,3.0,6
144,Clc1ccc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc2c1,6.89,71769497,355.9,4.6,41.2,1,3.0,5
145,Clc1ccc2c(NCCCCCCCOc3ccc(-c4cc5ccccc5o4)cc3)c3c(nc2c1)CCCC3,6.51,54769156,539.1,9.7,47.3,1,4.0,11
146,Clc1ccc2c(NCc3ccccc3)c3c(nc2c1)CCCC3,6.77,10711007,322.8,5.5,24.9,1,2.0,3
147,Fc1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1,5.54,155541480,,3.7,15.6,0,3.0,4
148,N#Cc1c(Cl)nc(NC2CCN(Cc3ccccc3)CC2)c(C#N)c1-c1ccccc1,5.03,73352248,427.9,5.8,75.7,1,5.0,5
149,N#Cc1ccc2[nH]cc(CCC(=O)NCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,9.15,11409935,528.1,6.5,93.6,3,4.0,11
150,NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,5.52,44300875,350.26,1.0,55.1,2,8.0,0
151,NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,6.5,10662852,311.5,4.4,50.9,2,3.0,8
152,NCCCCCCNC1=CC(=O)c2ccccc2C1=O,4.19,56926077,272.34,2.3,72.2,2,4.0,7
153,NS(=O)(=O)c1ccc(NC(=S)NCCN2CCCCC2)cc1,4.05,1245748,342.5,1.0,128.0,3,5.0,5
154,Nc1c2c(nc3c(Cl)cccc13)C1CCC2C1,7.07,44381983,244.72,3.1,38.9,1,2.0,0
155,Nc1c2c(nc3c1CCCO3)CCC2,5.95,14372827,190.24,1.6,48.1,1,3.0,0
156,Nc1c2c(nc3cc(Cl)c(Cl)cc13)CCCC2,6.33,10801760,267.15,4.0,38.9,1,2.0,0
157,Nc1c2c(nc3cc(Cl)ccc13)-c1ccccc1C2,5.18,23644792,,3.8,38.9,1,2.0,0
158,Nc1c2c(nc3cc(F)ccc13)-c1ccccc1C2,5.92,23644785,250.27,3.3,38.9,1,3.0,0
159,Nc1c2c(nc3cc(F)ccc13)CCCC2,7.06,10013554,216.25,2.8,38.9,1,3.0,0
161,Nc1c2c(nc3ccc([N+](=O)[O-])cc13)CCCC2,5.52,11287987,243.26,2.5,84.7,1,4.0,0
162,Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,7.375,44381982,244.72,3.1,38.9,1,2.0,0
163,Nc1c2c(nc3ccccc13)CCC(O)C2,5.715,179849,214.26,1.6,59.1,2,3.0,0
164,Nc1c2c(nc3ccccc13)CCCC2,6.64,1935,198.26,2.7,38.9,1,2.0,0
169,Nc1c2c(nc3ccccc13)CCCCCC2,5.04,402662,226.32,3.8,38.9,1,2.0,0
170,Nc1c2c(nc3ncccc13)CCCC2,6.37,14372831,199.25,2.0,51.8,1,3.0,0
171,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,7.52,46889660,351.4,4.0,38.8,0,4.0,6
172,O=C(CCO[N+](=O)[O-])NCCCCNc1c2c(nc3ccccc13)CCCC2,7.34,24800295,386.4,3.6,109.0,2,6.0,9
173,O=C(CCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3ccccc13)CCCC2,7.16,11316986,454.6,5.8,69.8,3,3.0,10
174,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2ccccc2F)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,4.61,71716371,685.8,3.7,102.0,2,7.0,3
175,O=C(NCC1CCN(Cc2cccc(F)c2)CC1)c1cncc(NC(=O)c2ccnc(NC(=O)C3CC3)c2)c1,5.62,164625588,530.6,2.2,116.0,3,7.0,9
176,O=C(c1c(F)ccc(F)c1F)n1nc(OCCN2CCCCC2)c2ccccc21,5.03,153979986,403.4,4.6,47.4,0,7.0,5
177,O=C(c1cccc(Cl)c1Cl)n1nc(OCCCN2CCCCC2)c2ccccc21,4.77,153979991,432.3,5.9,47.4,0,4.0,6
178,O=C(c1ccccc1)c1c(C2CCN(Cc3ccccc3)CC2)oc2ccccc12,4.38,164621368,395.5,5.8,33.5,0,3.0,5
179,O=C1/C(=C/c2ccc(Cl)cc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(Cl)cc1,5.47,71716987,612.5,5.8,69.7,1,4.0,4
180,O=C1/C(=C/c2ccccc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccccc1,4.76,71718814,543.7,4.5,69.7,1,4.0,4
181,O=[N+]([O-])c1ccc2c(NCc3ccccc3)c3c(nc2c1)CCCC3,5.32,10496874,333.4,4.7,70.7,1,4.0,3
182,O=[N+]([O-])c1ccc2nc3c(c(Nc4ccccc4)c2c1)CCCC3,5.8,46889333,319.4,4.8,70.7,1,4.0,2
183,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,7.92,5281614,286.24,2.0,107.0,4,6.0,1
184,Oc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,4.46,164625316,307.4,4.1,36.6,1,3.0,3
188,c1ccc(-c2cnc(NCN3CCCCC3)nn2)cc1,4.22,46889618,269.34,2.2,53.9,1,5.0,4
189,c1ccc(-c2nnc(NCN3CCCCC3)s2)cc1,4.27,46889617,274.39,3.3,69.3,1,5.0,4
190,c1ccc(CN2CCC(CCNc3noc4ccccc34)CC2)cc1,6.09,10449628,335.4,4.7,41.3,1,4.0,6
191,c1ccc2c(CNc3ccnc(N4CCCC4)n3)cccc2c1,5.26,46891117,304.4,4.2,41.1,1,4.0,4
192,c1ccc2c(CNc3ccnc(N4CCOCC4)n3)cccc2c1,4.83,46891118,320.4,3.3,50.3,1,5.0,4
193,c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,7.08,10598017,416.6,7.0,49.8,2,4.0,12
194,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,8.06,656986,452.6,7.9,49.8,2,4.0,11
195,c1ccc2c(c1)CN1CCCCCCC1=N2,5.04,14318563,214.31,2.3,15.6,0,1.0,0
196,c1ccc2c(c1)Cc1c-2nc2ccccc2c1NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,7.86,54577393,526.7,9.0,49.8,2,4.0,10
197,c1cnc2nc3c(c(NCCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,8.89,23644779,494.7,7.1,75.6,2,6.0,10
199,c1cnc2nc3c(c(NCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,8.32,23644778,480.6,6.5,75.6,2,6.0,9
